CAFE_NAME,PROVINCE,CITY,ADDRESS,SOCMED_LINK
Luna Coffee,CAPIZ,ROXAS CITY,"Luna Coffee, Rizal Street Roxas City, Philippines",https://web.facebook.com/Lunacoffeee
Starbucks,ILOILO,ILOILO CITY,Iloilo City,https://www.starbucks.ph/
Eduardo's,ILOILO,SAN JOAQUIN,"San Joaquin, Iloilo",https://www.facebook.com/eduardosfstopcafe/
Cafe Diem,ILOILO,MIAGAO,Miag-ao,https://www.facebook.com/CafeDiemMiagao/?ref=page_internal
Monkey Grounds,ILOILO,ILOILO CITY,"Benigno Aquino Ave 5000 Iloilo City, Philippines",https://www.facebook.com/monkeygroundscoffee
Coffeebreak ,CAPIZ,ROXAS CITY,"Magallanes St. Roxas City, Capiz",https://www.facebook.com/pages/Coffee-Break-Roxas-City/1622556418073123
Luna Coffee,CAPIZ,ROXAS CITY,"Rizal St. Roxas City, Capiz",https://www.facebook.com/111326993981977/posts/300631498384858/
Jacque's coffee and chills,CAPIZ,ROXAS CITY,"Baybay, Roxas City, Capiz",https://www.facebook.com/638595662928214/posts/3996629150458165/
Tabai Coffee,CAPIZ,ROXAS CITY,"Baybay, Roxas City, Capiz",fb://photo/149108887253314?set=a.146090700888466
Sweet Escape Caffe,CAPIZ,ROXAS CITY,"Gaisano Arcade, Arnaldo Boulevard, Roxas City, Capiz",https://www.facebook.com/297771564038826/posts/1162457770903530/
Coffee City,ILOILO,PASSI,"Plaza Paloma, Passi City, Iloilo, Philippines",https://www.facebook.com/CoffeeCity.Passi/
The Green's Cafe,ILOILO,PAVIA,"Brgy. Balabag, Pavia, Iloilo ",https://mbasic.facebook.com/theGreensCafe/
Cafe Bohemia,ILOILO,PAVIA,"2F NH Building, Purok 3, Pavia Iloilo",https://www.facebook.com/cafebohemiailoilo
Coffee Brewtherhood,ILOILO,ILOILO CITY,"Golden AC Business Center, E Lopez St, Jaro, Iloilo City, 5000 Iloilo",https://www.facebook.com/coffeebrewtherhood/
JD Bakery Cafe,ILOILO,ILOILO CITY," Gen. Luna St. 5000 Iloilo City, Philippines",https://www.facebook.com/JDBakeryCafeIloilo/
Tabai Coffee,CAPIZ,ROXAS CITY,"Baybay, Roxas City, Western Visayas, Philippines 5800 Roxas City, Philippines",https://www.facebook.com/TabaiCoffee
LoCo,ILOILO,PAVIA,"Fernando Lopez Avenue, Ungka I, Pavia 5000 Ungka, Philippines",https://www.facebook.com/LocalCoffeeGT/
GRIND CoffeexCarwash,CAPIZ,ROXAS CITY,"Tanza, Roxas City, Capiz",https://www.facebook.com/Gr1ndcoffeexcarwash
Bo's Coffee,CAPIZ,ILOILO CITY,"Lvl 1 Unit G 19 to G 20, Robinsons Jaro, E. Lopez St., Jaro, Philippines",https://www.facebook.com/boscoffee
KapeJuan,ILOILO,TIGBAUAN,"Tupas Street, Tigbauan, Iloilo",https://facebook.com/KapeJuan-590348911648153
BJ's Garden CafÈ - In House Barista,ILOILO,TUBUNGAN,"Dolores St, Zone 2, Tubungan, Iloilo 5027 Tubungan, Philippines",https://www.facebook.com/Bjgardencafe/?tsid=0.9403640110461341&source=result
Isla Seafoods,CAPIZ,ROXAS CITY,"Baybay Beach 5800 Roxas City, Philippines",https://www.facebook.com/islaseafoodresto
Zejios Tea & Coffee,AKLAN,NUMANCIA,"Laguinbanua East, Numancia, Aklan",https://www.facebook.com/zejiosteacoffee/
Neighbor Coffee,ILOILO,OTON,"Zone 1, Barangay Cagbang, Oton 5020 Iloilo City, Philippines",https://www.facebook.com/neighborcoffee.ilo/
Mang Kapi Ta,ILOILO,ILOILO CITY,"Blk 2 Lot 14 Villa Matilde Subd., Jaro, Iloilo City",https://www.facebook.com/mangkapita/
Jojean's CafÈ,ILOILO,ILOILO CITY,"#126 Lopez Jaena St, Lelac Inn building infront of Central Philippines University jaro iloilo city 5000 Iloilo City, Philippines",https://www.facebook.com/jojeanscakescoffee
Spanggo Foods Cafe and Pasalubong Center,CAPIZ,ROXAS CITY,"Rizal Street, Roxas City, Capiz",https://www.facebook.com/Spanggo-Foods-Cafe-and-Pasalubong-Center-298227386936091
Vito Cafe,ILOILO,DUMANGAS,"Sulangan, Dumangas, Iloilo",https://www.facebook.com/vitocafeph
Jacque's Coffee and Chills,CAPIZ,ROXAS CITY,"Baybay Beach, Roxas City, Capiz",Jacque's Coffee and Chills
Tabai Coffee + Test Kitchen,CAPIZ,ROXAS CITY,"Baybay, Roxas City, Western Visayas",https://www.facebook.com/TabaiCoffee
S≈çl Coffee,ILOILO,ILOILO CITY,"Regina Road, Tabuc suba, Jaro, Iloilo City",https://www.facebook.com/solcoffeeph
The Grind Coffee Co.,ILOILO,ILOILO CITY,"20 Luna st. Brgy. Luna Jaro Iloilo City (Balay Sigahum) near Brgy.Hall, Iloilo",https://www.facebook.com/thegrindcoffeeiloilo
CafÈ Gado,ILOILO,TIGBAUAN,"Baguingin Bridge, Tigbauan,, Iloilo City",https://www.facebook.com/cafegado.resto
Kapehan sa Baklayan,ILOILO,SAN JOAQUIN,"Aripdip 5039 San Rafael, Iloilo, Philippines",https://www.facebook.com/kapehansabaklayan
Icebucks River Cafe & Kitchen,ILOILO,ALIMODIAN,"San Rufino St, Alimodian, Iloilo",https://www.facebook.com/profile.php?id=100057075925468
Zarcreme Coffee,ILOILO,LEGANES,"Petron Station, Brgy. Camangay, Leganes, Iloilo",https://www.facebook.com/pages/Zarcreme%20Coffee/100766091853245/
Coaster cafe,ILOILO,LEON,"F. Cabarles St., Leon Iloilo",https://www.facebook.com/coaster.cafe.ph/
Arteahan milktea haven and snackhouse,ILOILO,STA. BARBARA,"Arroyo corner magalona St., Zone 1, Sta. Barbara, Iloilo",https://www.facebook.com/arteahan/
Tresto cafe and resto,ILOILO,STA. BARBARA,"Balibagan Este, Sta. Barbara, Iloilo",https://www.facebook.com/Tresto-Cafe-103355191902513/
Umadao Garden Cafe,ILOILO,LEON,"Sitio Buklod Bugtong, Buga,  Leon, Iloilo, Philippines",https://www.facebook.com/UMADAOGardenCafe2021/
Anarey's Backyard CafÈ,ILOILO,LEON,"Sitio Buntalan, Leon, Iloilo 5026 Leon, Philippines",https://www.facebook.com/Anareys-Backyard-Caf%C3%A9-102328865296781
Keyk Ni Jec,ILOILO,LEON,"#10 Cabaluna St. 5026 Leon, Philippines",https://www.facebook.com/KeykNiJec
Chenie's Foodhub,ILOILO,LEON,"Brgy. Talacuan Leon 5026 Leon, Philippines",https://www.facebook.com/Chenies-Foodhub-1454537731346988
Milk & Tea Leon,ILOILO,LEON,"F Cabarles St. Brgy Poblacion, Leon 5026 Leon, Philippines",https://www.facebook.com/milkandtealeon
Cafe Tribu,AKLAN,KALIBO,"Capitol Site, Near Q Zone Bowling Center 5600 Kalibo, Philippines",https://www.facebook.com/CafetribukaliboTratoriapastacorner/
1995 Cafe,AKLAN,KALIBO,"Roxas Avenue, 5600 Kalibo, Aklan",https://www.facebook.com/1995cafe.klo
Bungsan Kitchen,AKLAN,NABAS,"Union 5607 Nabas, Philippines",https://www.facebook.com/BungsanKitchen
DC Cafe,CAPIZ,ROXAS CITY,"National Road, Brgy. Banica 5800 Roxas City, Philippines",https://www.facebook.com/DC-Cafe-137236749719036
Iloilo Coffee house,ILOILO,ILOILO CITY,"77 Quezon St., Dulonan, Arevalo 5000 Iloilo City, Philippines",https://www.facebook.com/iloilocoffeehouse
Cosh,CAPIZ,ROXAS CITY,"Roxas City, Capiz",https://www.facebook.com/coshbytea.cheers/
S Beans by Cafe Selinda,CAPIZ,PONTEVEDRA,"Tacas 5802 Pontevedra, Philippines",https://www.facebook.com/SBeansCoffeeshop/
Unitea,CAPIZ,ROXAS CITY,"Roxas City, Capiz",https://www.facebook.com/Unitea-Unicorn-Tea-House-103453491127608/
Ventuno,ILOILO,ILOILO CITY,"8 OsmeÒa St, Villa Arevalo District, Iloilo City, 5000 Iloilo",https://www.facebook.com/Ventuno-Tienda-Cafe-100926858639841/
Red Bucks Cafe,CAPIZ,ROXAS CITY,"Eperformax Bldg Pueblo de Panay 5800 Roxas City, Philippines",https://www.facebook.com/redbuckscaferoxascity
